epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,265.431,0.68151,0.39998,0.8999,0.93081,0.92632,0.96077,0.73054,0.92631,0.56836,1.00461,0.00144006,0.00144006,0.00144006
115,267.927,0.67839,0.40108,0.90278,0.93081,0.92632,0.96077,0.73054,0.92631,0.56836,1.00461,0.00143131,0.00143131,0.00143131
116,270.134,0.59583,0.36646,0.86843,0.92417,0.89806,0.95633,0.72267,0.94169,0.60554,1.00353,0.00142253,0.00142253,0.00142253
117,272.322,0.65995,0.38522,0.88579,0.92417,0.89806,0.95633,0.72267,0.94169,0.60554,1.00353,0.00141371,0.00141371,0.00141371
118,274.915,0.63239,0.39193,0.88306,0.91088,0.92632,0.96118,0.73456,0.90129,0.57035,0.99436,0.00140486,0.00140486,0.00140486
119,277.144,0.61851,0.38472,0.86924,0.89857,0.90526,0.95889,0.73875,0.86998,0.53494,0.9813,0.00139598,0.00139598,0.00139598
120,279.3,0.62285,0.36522,0.87114,0.89857,0.90526,0.95889,0.73875,0.86998,0.53494,0.9813,0.00138706,0.00138706,0.00138706
121,281.91,0.61937,0.36572,0.88307,0.95487,0.8909,0.96579,0.75034,0.85869,0.51102,0.98095,0.00137812,0.00137812,0.00137812
122,284.289,0.61626,0.37385,0.8717,0.95487,0.8909,0.96579,0.75034,0.85869,0.51102,0.98095,0.00136914,0.00136914,0.00136914
123,286.661,0.61865,0.36417,0.87836,0.94506,0.91579,0.96722,0.75836,0.84325,0.5032,0.98391,0.00136013,0.00136013,0.00136013
124,289.486,0.62713,0.35741,0.87761,0.93849,0.89474,0.96411,0.7916,0.79274,0.50571,0.95777,0.00135109,0.00135109,0.00135109
125,291.876,0.60454,0.36768,0.87946,0.93849,0.89474,0.96411,0.7916,0.79274,0.50571,0.95777,0.00134203,0.00134203,0.00134203
126,294.317,0.62345,0.36349,0.87101,0.90835,0.94737,0.96057,0.76598,0.81308,0.49455,0.96133,0.00133294,0.00133294,0.00133294
127,296.897,0.63659,0.37075,0.87172,0.90835,0.94737,0.96057,0.76598,0.81308,0.49455,0.96133,0.00132382,0.00132382,0.00132382
